UBICACION,num_comisarias,personal,area_com,old_com,com_internet,nreu_codisec,juntas,per_juntas,redes,per_redes,n_patru,n_pat_int,serenazgos,n_vehi,conf_pnp,conf_muni,conf_pj,conf_mpfn,Poblacion,ANIO,denuncias
APURIMAC+AYMARAES+TINTAY,1,11,700,20,1,3,0,0,0,0,12,0,9,0,2.1,2.28,1.71,1.64,2320,2019,
APURIMAC+AYMARAES+YANACA,1,12,260,50,1,4,6,75,0,0,18,0,2,0,1.88,1.76,1.68,1.6,1006,2019,
APURIMAC+CHINCHEROS+ANCO_HUALLO,1,27,2533,8,1,4,0,0,0,0,0,0,8,1,1.79,1.88,1.45,1.39,10749,2019,
APURIMAC+CHINCHEROS+CHINCHEROS,1,29,120,7,1,10,0,0,0,0,211,0,5,3,1.82,2.24,0.82,0.71,5529,2019,
APURIMAC+CHINCHEROS+COCHARCAS,1,11,330,22,1,2,11,10,0,0,105,0,1,1,2.07,1.98,1.57,1.53,1772,2019,
APURIMAC+CHINCHEROS+HUACCANA,1,14,280,9,1,17,11,111,0,0,10,0,10,0,1.79,1.74,1.5,1.43,6836,2019,
APURIMAC+CHINCHEROS+OCOBAMBA,1,12,145,9,1,3,6,60,0,0,70,0,4,0,2.25,1.95,1.34,1.36,7125,2019,
APURIMAC+CHINCHEROS+ONGOY,1,11,383,15,1,10,0,0,0,0,2,0,4,0,2.03,1.89,1.4,1.37,2408,2019,
APURIMAC+CHINCHEROS+RANRACANCHA,1,11,280,6,1,6,10,100,0,0,12,0,7,0,1.9,2.25,1.56,1.41,4209,2019,
APURIMAC+CHINCHEROS+URANMARCA,1,11,228,4,1,3,4,41,0,0,149,0,1,0,2.32,2.58,1.6,1.6,2794,2019,
APURIMAC+COTABAMBAS+CHALLHUAHUACHO,1,22,148,14,1,4,0,0,0,0,120,30,30,4,2.3,2.27,1.86,1.94,16776,2019,
APURIMAC+COTABAMBAS+COTABAMBAS,1,10,145,35,1,0,6,60,0,0,12,0,7,1,1.83,1.71,1.48,1.49,4089,2019,
APURIMAC+COTABAMBAS+COYLLURQUI,1,10,151,60,1,1,0,0,0,0,8,0,5,1,2,1.74,1.31,1.24,6860,2019,
APURIMAC+COTABAMBAS+HAQUIRA,1,11,603,42,1,10,1,12,0,0,20,2,10,3,1.78,2.16,1,1,9840,2019,
APURIMAC+COTABAMBAS+MARA,1,13,174,12,0,3,10,10,0,0,30,0,5,0,1.76,1.59,1.45,1.39,6171,2019,
APURIMAC+COTABAMBAS+TAMBOBAMBA,1,18,101,50,1,5,0,0,0,0,69,12,32,1,1.9,1.8,1.41,1.44,10816,2019,1
APURIMAC+GRAU+CHUQUIBAMBILLA,1,16,335,25,1,3,0,0,0,0,2,0,2,0,1.83,1.76,1.81,1.72,5295,2019,
APURIMAC+GRAU+GAMARRA,1,12,216,17,1,5,2,240,0,0,6,0,86,0,2.25,1.89,1.41,1.45,2791,2019,
APURIMAC+GRAU+MAMARA,1,10,325,12,1,5,0,0,0,0,50,0,4,0,2.25,1.78,1.48,1.35,900,2019,
